rowid,object,attribute,value,attributetype
82,dd0f65e6-934f-48d5-b4b8-53803029234f,hours,"{""Fri"":""00:00:00–23:59:00"",""Mon"":""00:00:00–23:59:00"",""Sat"":""00:00:00–23:59:00"",""Thu"":""00:00:00–23:59:00"",""Tue"":""00:00:00–23:59:00"",""Wed"":""00:00:00–23:59:00""}",undefined
83,dd0f65e6-934f-48d5-b4b8-53803029234f,price,1,int
84,dd0f65e6-934f-48d5-b4b8-53803029234f,reviewsWebsite,https://www.tripadvisor.com/Restaurant_Review-g60713-d2649298-Reviews-Bob_s_Donuts_Pastry_Shop-San_Francisco_California.html?m=63959,url
85,dd0f65e6-934f-48d5-b4b8-53803029234f,amenities,"Offers Delivery,Offers Takeout,Vegan Options,Accepts Credit Cards,Accepts Apple Pay,Quiet,Street Parking",string
86,dd0f65e6-934f-48d5-b4b8-53803029234f,phoneNumber,+14157763141,phoneNumber
87,edf66767-4c0a-423a-9800-564fe47fcf6a,type,cafe,type
88,edf66767-4c0a-423a-9800-564fe47fcf6a,website,http://www.javabeachsf.com,url
89,edf66767-4c0a-423a-9800-564fe47fcf6a,lattitude,37.7604494,float
90,edf66767-4c0a-423a-9800-564fe47fcf6a,longitude,-122.508978,float
91,edf66767-4c0a-423a-9800-564fe47fcf6a,name,Java Beach Cafe,string
92,edf66767-4c0a-423a-9800-564fe47fcf6a,address,"1396 La Playa St, San Francisco, CA 94122-1019",address
93,edf66767-4c0a-423a-9800-564fe47fcf6a,hours,"{""Fri"":""06:00:00–17:00:00"",""Mon"":""06:00:00–17:00:00"",""Sat"":""06:30:00–17:00:00"",""Sun"":""06:30:00–17:00:00"",""Thu"":""06:00:00–17:00:00"",""Tue"":""06:00:00–17:00:00"",""Wed"":""06:00:00–17:00:00""}",undefined
94,edf66767-4c0a-423a-9800-564fe47fcf6a,price,1,int
95,edf66767-4c0a-423a-9800-564fe47fcf6a,reviewsWebsite,https://www.tripadvisor.com/Restaurant_Review-g60713-d2620311-Reviews-Java_Beach_Cafe-San_Francisco_California.html?m=63959,url
96,edf66767-4c0a-423a-9800-564fe47fcf6a,amenities,"Offers Delivery,Offers Takeout,No Reservations,Vegan Options,Accepts Credit Cards,Accepts Apple Pay,Accepts Android Pay,Outdoor Seating,Classy, Casual,Moderate Noise,Good for Groups,Good For Kids,Good for Breakfast, Lunch,Good for Working,Street Parking,Free Wi-Fi,Beer &amp; Wine Only,Dogs Allowed,Wheelchair Accessible,Gender-neutral restrooms,Open to All,Offers Catering,No Waiter Service,No Happy Hour,No TV,Bike Parking",string
97,edf66767-4c0a-423a-9800-564fe47fcf6a,phoneNumber,+14156655282,phoneNumber
98,f616f29e-9a40-4a49-b66d-c545614c0537,type,cafe,type
99,f616f29e-9a40-4a49-b66d-c545614c0537,website,http://www.cafestjorge.com,url
100,f616f29e-9a40-4a49-b66d-c545614c0537,lattitude,37.7416967,float
101,f616f29e-9a40-4a49-b66d-c545614c0537,longitude,-122.422572,float
102,f616f29e-9a40-4a49-b66d-c545614c0537,name,Cafe St. Jorge,string
104,f616f29e-9a40-4a49-b66d-c545614c0537,hours,"{""Fri"":""07:00:00–18:00:00"",""Mon"":""07:00:00–18:00:00"",""Sat"":""07:00:00–20:00:00"",""Sun"":""08:00:00–17:00:00"",""Thu"":""07:00:00–18:00:00"",""Tue"":""07:00:00–18:00:00"",""Wed"":""07:00:00–18:00:00""}",undefined
105,f616f29e-9a40-4a49-b66d-c545614c0537,price,2.5,int
106,f616f29e-9a40-4a49-b66d-c545614c0537,reviewsWebsite,https://www.tripadvisor.com/Restaurant_Review-g60713-d4866225-Reviews-Cafe_St_Jorge-San_Francisco_California.html?m=63959,url
107,f616f29e-9a40-4a49-b66d-c545614c0537,amenities,"Offers Delivery,Offers Takeout,Accepts Credit Cards,Accepts Apple Pay,Outdoor Seating,Good for Working,Street Parking,Free Wi-Fi,Gender-neutral restrooms,Offers Catering,Bike Parking",string
108,f616f29e-9a40-4a49-b66d-c545614c0537,phoneNumber,+14158142028,phoneNumber
109,1f9ca385-454d-47cc-a8f6-5c75f8686650,type,event,undefined
110,1f9ca385-454d-47cc-a8f6-5c75f8686650,startDate,2024-03-28T17:00:00-07:00,date
111,1f9ca385-454d-47cc-a8f6-5c75f8686650,endDate,2024-03-28T20:00:00-07:00,date
112,1f9ca385-454d-47cc-a8f6-5c75f8686650,name,Bay Area Ruby Meetup Group @ GitHub HQ,string
113,1f9ca385-454d-47cc-a8f6-5c75f8686650,url,https://www.meetup.com/san-francisco-ruby-meetup-group/events/299635202/,url
114,1f9ca385-454d-47cc-a8f6-5c75f8686650,image,https://secure-content.meetupstatic.com/images/classic-events/519578114/676x676.jpg,url-img
115,1f9ca385-454d-47cc-a8f6-5c75f8686650,description,"(NOTE: [Please register at this Luma Link](https://lu.ma/r6d0lghm) (Github's preference) in addition to RSVPing here.)

Hey, Bay Area builders and tinkerer",string
116,1f9ca385-454d-47cc-a8f6-5c75f8686650,locationName,GitHub,string
117,1f9ca385-454d-47cc-a8f6-5c75f8686650,locationAddress,"88 Colin P Kelly Jr St, San Francisco, CA",address
118,1f9ca385-454d-47cc-a8f6-5c75f8686650,organizerName,SF Bay Area Ruby Meetup Group,string
119,d47f9bf9-9510-4980-8ec6-674add2192c6,type,event,undefined
120,d47f9bf9-9510-4980-8ec6-674add2192c6,startDate,2024-03-28T18:00:00-07:00,date
121,d47f9bf9-9510-4980-8ec6-674add2192c6,endDate,2024-03-28T22:00:00-07:00,date
122,d47f9bf9-9510-4980-8ec6-674add2192c6,name,San Francisco AI Block Party,string
123,d47f9bf9-9510-4980-8ec6-674add2192c6,url,https://www.meetup.com/sanfrancisco-ai/events/299429399/,url
124,d47f9bf9-9510-4980-8ec6-674add2192c6,image,https://secure-content.meetupstatic.com/images/classic-events/519380766/676x676.jpg,url-img
125,d47f9bf9-9510-4980-8ec6-674add2192c6,description,"Welcome to the San Francisco AI Block Party! Get ready for a night of fun, music, and good vibes in the heart of San Francisco.

Bring your friends and net",string
126,d47f9bf9-9510-4980-8ec6-674add2192c6,locationName,1481 Folsom St,string
127,d47f9bf9-9510-4980-8ec6-674add2192c6,locationAddress,"1481 Folsom St, San Francisco, CA",address
128,d47f9bf9-9510-4980-8ec6-674add2192c6,organizerName,San francisco AI Meetups,string
129,4496e9c7-5d41-47d7-8222-919c01814591,type,event,undefined
130,4496e9c7-5d41-47d7-8222-919c01814591,startDate,2024-03-16T13:00:00-07:00,date
131,4496e9c7-5d41-47d7-8222-919c01814591,endDate,2024-03-16T15:00:00-07:00,date
132,4496e9c7-5d41-47d7-8222-919c01814591,name,Queerly Quarterly Meet & Greet (Bernal Heights & Adjacent),string
133,4496e9c7-5d41-47d7-8222-919c01814591,url,https://www.meetup.com/queerly-quarterly/events/298999698/,url
134,4496e9c7-5d41-47d7-8222-919c01814591,image,https://secure-content.meetupstatic.com/images/classic-events/518923242/676x676.jpg,url-img
135,4496e9c7-5d41-47d7-8222-919c01814591,description,Welcome to Queerly Quarterly meet and greet! Our meetup focuses on fostering a sense of community among residents and creating connections within the LGBTQ,string
136,4496e9c7-5d41-47d7-8222-919c01814591,locationName,San Francisco,string
137,4496e9c7-5d41-47d7-8222-919c01814591,locationAddress,"Downtown, San Francisco, CA",address
138,4496e9c7-5d41-47d7-8222-919c01814591,organizerName,Queerly Quarterly,string
139,3c8c6633-1faa-4d70-8708-2b86a8b7c1d5,type,event,undefined
140,3c8c6633-1faa-4d70-8708-2b86a8b7c1d5,startDate,2024-03-18T15:00:00-07:00,date
141,3c8c6633-1faa-4d70-8708-2b86a8b7c1d5,endDate,2024-03-18T17:00:00-07:00,date
142,3c8c6633-1faa-4d70-8708-2b86a8b7c1d5,name,Game Developers and Publishers Boba Happy Hour @ GDC!,string
143,3c8c6633-1faa-4d70-8708-2b86a8b7c1d5,url,https://www.meetup.com/conduit-turn-gameplay-into-social-posts/events/298761027/,url
144,3c8c6633-1faa-4d70-8708-2b86a8b7c1d5,image,https://secure-content.meetupstatic.com/images/classic-events/518685848/676x676.jpg,url-img
145,3c8c6633-1faa-4d70-8708-2b86a8b7c1d5,description,"**\*\*RSVP ON EVENTBRITE FOR ENTRY\*\***
https://www.eventbrite.com/e/game-developers-and-publishers-boba-happy-hour-gdc-tickets-807243736747

Looking for ",string
146,3c8c6633-1faa-4d70-8708-2b86a8b7c1d5,locationName,Yerba Buena Gardens,string
147,3c8c6633-1faa-4d70-8708-2b86a8b7c1d5,locationAddress,"750 Howard St, San Francisco, CA",address
148,3c8c6633-1faa-4d70-8708-2b86a8b7c1d5,organizerName,Conduit - Automatic Social Posts for Indies,string
149,5fe689e9-5ba8-4e0b-9801-29822c84be11,type,event,undefined
150,5fe689e9-5ba8-4e0b-9801-29822c84be11,startDate,2024-03-16T11:00:00-07:00,date
151,5fe689e9-5ba8-4e0b-9801-29822c84be11,endDate,2024-03-16T13:00:00-07:00,date
152,5fe689e9-5ba8-4e0b-9801-29822c84be11,name,Mahamudra: Walking for connection 💫,string
153,5fe689e9-5ba8-4e0b-9801-29822c84be11,url,https://www.meetup.com/mahamudra-walking-for-connection/events/299576166/,url
154,5fe689e9-5ba8-4e0b-9801-29822c84be11,image,h,url-img
155,5fe689e9-5ba8-4e0b-9801-29822c84be11,description,"Join us for a transformative journey of self-discovery through Mahamudra walking meditation. We will explore personal development, fitness, and techniques ",string
156,5fe689e9-5ba8-4e0b-9801-29822c84be11,locationName,Ritual Coffee Roasters,string
157,5fe689e9-5ba8-4e0b-9801-29822c84be11,locationAddress,"432b Octavia St, San Francisco, CA",address
158,5fe689e9-5ba8-4e0b-9801-29822c84be11,organizerName,Mahamudra: Walking for connection,string
159,7f78f0ef-7b27-4c4d-82aa-4d055ceb1394,type,event,undefined
160,7f78f0ef-7b27-4c4d-82aa-4d055ceb1394,startDate,2024-03-27T18:00:00-07:00,date
161,7f78f0ef-7b27-4c4d-82aa-4d055ceb1394,endDate,2024-03-27T20:00:00-07:00,date
163,7f78f0ef-7b27-4c4d-82aa-4d055ceb1394,url,https://www.meetup.com/data-engineer-things-bay-area-meetup/events/299603013/,url
164,7f78f0ef-7b27-4c4d-82aa-4d055ceb1394,image,https://secure-content.meetupstatic.com/images/classic-events/519750261/676x676.jpg,url-img
165,7f78f0ef-7b27-4c4d-82aa-4d055ceb1394,description,"Whether you're a seasoned data engineer or just starting out, this event will provide valuable insights and practical tips on the work we do. Come network ",string
166,7f78f0ef-7b27-4c4d-82aa-4d055ceb1394,locationName,Writing Lab,string
167,7f78f0ef-7b27-4c4d-82aa-4d055ceb1394,locationAddress,"180 Golden Gate Ave,, San Francisco , CA",address
168,7f78f0ef-7b27-4c4d-82aa-4d055ceb1394,organizerName,Data Engineer Things Bay Area Meetup,string
169,bcc7080d-bb7b-43a0-8cdf-c5f57c442dc8,type,event,undefined
170,bcc7080d-bb7b-43a0-8cdf-c5f57c442dc8,startDate,2024-03-19T19:00:00-07:00,date
171,bcc7080d-bb7b-43a0-8cdf-c5f57c442dc8,endDate,2024-03-19T23:59:00-07:00,date
172,bcc7080d-bb7b-43a0-8cdf-c5f57c442dc8,name,"GDC 2024 After Party Meetup with HashiCorp, Sentry, Unity, Discord & More",string
173,bcc7080d-bb7b-43a0-8cdf-c5f57c442dc8,url,https://www.meetup.com/monthly-sf-game-development-community/events/298874115/,url
174,bcc7080d-bb7b-43a0-8cdf-c5f57c442dc8,image,https://secure-content.meetupstatic.com/images/classic-events/519278588/676x676.jpg,url-img
175,bcc7080d-bb7b-43a0-8cdf-c5f57c442dc8,description,"Welcome back to SF Game Development's third annual GDC 2024 After Party Meetup at DNA Lounge on Tuesday, March 19th from 7:00pm-12:00am. This is the larges",string
176,bcc7080d-bb7b-43a0-8cdf-c5f57c442dc8,locationName,DNA Lounge,string
177,bcc7080d-bb7b-43a0-8cdf-c5f57c442dc8,locationAddress,"375 11th St, San Francisco, CA",address
178,bcc7080d-bb7b-43a0-8cdf-c5f57c442dc8,organizerName,SF Game Development,string
179,061c732b-19e4-4e61-b575-9f9c4009e294,type,event,undefined
180,061c732b-19e4-4e61-b575-9f9c4009e294,startDate,2024-03-28T18:00:00-07:00,date
181,061c732b-19e4-4e61-b575-9f9c4009e294,endDate,2024-03-28T20:00:00-07:00,date
182,061c732b-19e4-4e61-b575-9f9c4009e294,name,Data and AI Engineering Panel: Airbyte x LangChain x Pinecone,string
183,061c732b-19e4-4e61-b575-9f9c4009e294,url,https://www.meetup.com/data-bytes/events/299752878/,url
184,061c732b-19e4-4e61-b575-9f9c4009e294,image,https://secure-content.meetupstatic.com/images/classic-events/519718245/676x676.jpg,url-img
185,061c732b-19e4-4e61-b575-9f9c4009e294,description,"Join us for some light bites, drinks, and discussion about data engineering for AI. Our meetup will include a panel discussion with experts from the engine",string
186,061c732b-19e4-4e61-b575-9f9c4009e294,locationName,100 California St,string
187,061c732b-19e4-4e61-b575-9f9c4009e294,locationAddress,"100 California St, San Francisco, CA",address
188,061c732b-19e4-4e61-b575-9f9c4009e294,organizerName,Data Bytes,string
189,6392c0ee-8f69-4216-8aac-513205ebeca6,type,event,undefined
190,6392c0ee-8f69-4216-8aac-513205ebeca6,startDate,2024-03-26T19:30:00-07:00,date
191,6392c0ee-8f69-4216-8aac-513205ebeca6,endDate,2024-03-26T22:30:00-07:00,date
192,6392c0ee-8f69-4216-8aac-513205ebeca6,name,Make International friends & Language Exchange !,string
193,6392c0ee-8f69-4216-8aac-513205ebeca6,url,https://www.meetup.com/international-friends-san-francisco/events/299309308/,url
194,6392c0ee-8f69-4216-8aac-513205ebeca6,image,https://secure-content.meetupstatic.com/images/classic-events/519254228/676x676.jpg,url-img
195,6392c0ee-8f69-4216-8aac-513205ebeca6,description,"Make international friends & speak languages (local language included).
The languages spoken may vary based on the participants.
👉🍺🥤 You are asked to or",string
196,6392c0ee-8f69-4216-8aac-513205ebeca6,locationName,Iron Horse Cocktails,string
197,6392c0ee-8f69-4216-8aac-513205ebeca6,locationAddress,"25 Maiden Ln, San Francisco, CA",address
198,6392c0ee-8f69-4216-8aac-513205ebeca6,organizerName,International friends San Francisco,string
199,0dc904ab-6553-4d05-b3f8-8b2570a58f8e,type,event,undefined
200,0dc904ab-6553-4d05-b3f8-8b2570a58f8e,startDate,2024-03-27T18:00:00-07:00,date
201,0dc904ab-6553-4d05-b3f8-8b2570a58f8e,endDate,2024-03-27T21:00:00-07:00,date
202,0dc904ab-6553-4d05-b3f8-8b2570a58f8e,name,Workaholics who Treat Themselves Meetup @ Movida,string
203,0dc904ab-6553-4d05-b3f8-8b2570a58f8e,url,https://www.meetup.com/workaholics-who-treat-themselves/events/299477384/,url
204,0dc904ab-6553-4d05-b3f8-8b2570a58f8e,image,https://secure-content.meetupstatic.com/images/classic-events/519425872/676x676.jpg,url-img
205,0dc904ab-6553-4d05-b3f8-8b2570a58f8e,description,I am excited to share that we will be hosting our first meetup at Movida. Movida is a new restaurant in SF that serves persian and mexican fusion restauran,string
206,0dc904ab-6553-4d05-b3f8-8b2570a58f8e,locationName,555 2nd St,string
207,0dc904ab-6553-4d05-b3f8-8b2570a58f8e,locationAddress,"555 2nd St, San Francisco, CA",address
208,0dc904ab-6553-4d05-b3f8-8b2570a58f8e,organizerName,Workaholics who treat themselves,string
209,9f880809-105f-48de-9078-d08b1c18c9d9,type,event,undefined
210,9f880809-105f-48de-9078-d08b1c18c9d9,startDate,2024-03-15T19:00:00-07:00,date
211,9f880809-105f-48de-9078-d08b1c18c9d9,endDate,2024-03-15T21:00:00-07:00,date
212,9f880809-105f-48de-9078-d08b1c18c9d9,name, 1st Surrealism art group meeting,string
213,9f880809-105f-48de-9078-d08b1c18c9d9,url,https://www.meetup.com/surrealist-art-painting-group/events/299224488/,url
214,9f880809-105f-48de-9078-d08b1c18c9d9,image,https://secure-content.meetupstatic.com/images/classic-events/519151371/676x676.jpg,url-img
215,9f880809-105f-48de-9078-d08b1c18c9d9,description,This will be the initial meet up to discuss Future meet-ups and painting plans,string
216,9f880809-105f-48de-9078-d08b1c18c9d9,locationName,Flying Pig Bistro Pub,string
